Pretty_Name,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,Alias 6,Alias 7,Alias 8,Alias 9,Alias 10,Alias 11,Alias 12,Alias 13,Alias 14,Alias 15,Alias 16,Alias 17,Alias 18,Alias 19,Alias 20,Alias 21,Alias 22,Alias 23,Alias 24,Alias 25,Alias 26,Alias 27,Alias 28,Alias 29,Alias 30,Alias 31,Alias 32,Alias 33,Alias 34,Alias 35,Alias 36,Alias 37,Alias 38,Alias 39,Alias 40,Alias 41,Alias 42,Alias 43,Alias 44,Alias 45,Alias 46,Alias 47,Alias 48,Alias 49,Alias 50,Alias 51,Alias 52,Alias 53,Alias 54,Alias 55,Alias 56,Alias 57,Alias 58,Alias 59,Alias 60,Alias 61,Alias 62,Alias 63,Alias 64,Alias 65,Alias 66,Alias 67,Alias 68,Alias 69,Alias 70,Alias 71,Alias 72,Alias 73,Alias 74,Alias 75,Alias 76,Alias 77,Alias 78,Alias 79,Alias 80,Alias 81,Alias 82,Alias 83,Alias 84,Alias 85,Alias 86,Alias 87,Alias 88,Alias 89,Alias 90,Alias 91,Alias 92,Alias 93,Alias 94,Alias 95,Alias 96
חלב,חלב,קו יצור חלבי,קזאין,לקטוגלובולין,אבקת חלב,אבקת חלב נוכרי,מי גבינה,אבקת גבינה,מוצקי חלב,ניזין,E234,חמאה,גהי,סאמנה,לקט אלבומין,לקטוזים,קזאינים,לקטוגלובולינים,אבקות חלב,אבקות חלב נוכרי,אבקות חלב נוכריים,מי גבינות,מימי גבינות,מימי גבינה,אבקות גבינה,אבקות גבינות,מוצקים ממקור חלב,מוצקים ממקור חלבי,ניזינים,סאמנות,לציטין חלב,אבקת חלב דל שומן,אבקת יוגורט,אבקת מי גבינה,רכיבי חלב,עקבות מזעריים של חלב,חלבון חלב,עקבות של חלב,עקבות של מוצרי חלב,שאריות חלב,מוצרי חלב,פרוטאין חלב,חלב בקר,חלב,חלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לקטוז,לקטוז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חלב עיזים,חלב עיזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חלב כבשים,חלב כבשים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שקדים,שקדים,שקד,עקבות של שקדים,עקבות מזעריים של שקדים,שברי שקדים,שאריות של שקדים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי ברזיל,ברזיל,אגוז ברזיל,אגוזי ברזיל,עקבות של אגוזי ברזיל,עקבות מזעריים של אגוזי ברזיל,שאריות של אגוזי ברזיל,שברי אגוזי ברזיל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי קשיו,קשיו,אגוז קשיו,אגוזי קשיו,עקבות של אגוזי קשיו,עקבות מזעריים של אגוזי קשיו,שברי אגוזי קשיו,שאריות של אגוזי קשיו,עקבות אגוזי קשיו,עקבות מזעריים אגוזי קשיו,שברי קשיו,שאריות של קשיו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ערמונים,ערמונים,אגוז ערמונים,אגוזי ערמונים,עקבות של ערמונים,עקבות מזעריים של ערמונים,שברי ערמונים,שאריות של ערמונים,עקבות ערמונים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי לוז,לוז,אגוז לוז,אגוזי לוז,עקבות מזעריים של אגוזי לוז,עקבות של אגוזי לוז,שברי אגוזי לוז,שאריות של אגוזי לוז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי מקדמיה,מקדמיה,מאקדמיה,אגוז מקדמיה,אגוז מאקדמיה,אגוזי מאקדמיה,אגוזי מקדמיה,עקבות של אגוזי מקדמיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי פקאן,פקאן,אגוז פקאן,פקאנים,אגוזי פקאן,עקבות מזעריים של אגוזי פקאן,עקבות של אגוזי פקאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
צנוברים,צנובר,אגוזי צנובר,אגוז צנובר,צנוברים,אגוזי צנוברים,עקבות של צנוברים,עקבות מזעריים של צנוברים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פיסטוק,פיסטוק,פיסטוק חאלבי,אגוז פיסטוק,אגוזי פיסטוק חאלבי,אגוז פיסטוק חאלבי,פיסטוקים,אגוזי פיסטוק,עקבות של פיסטוק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי מלך,מלך,אגוז מלך,אגוזי מלך,עקבות מזעריים של אגוזי מלך,שאריות אגוזי מלך,עקבות של אגוזי מלך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי קוקוס,קוקוס,אגוז קוקוס,אגוזי קוקוס,רכיבי אגוז קוקוס,חלב קוקוס,עקבות של אגוזי קוקוס,שמן קוקוס,עקבות מזעריים של קוקוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי היקורי,היקורי,אגוז היקורי,אגוזי היקורי,עקבות של אגוזי היקורי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזים,אגוזים,שאריות אגוזים,שאריות של אגוזים,עקבות מזעריים של אגוזים,אגוזים אחרים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בוטנים,בוטן,בוטנים,שאריות בוטנים,עקבות של בוטנים,חמאת בוטנים,עקבות מזעריים של בוטנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ביצים,ביצים,אלבומין,גלובולין,ליבטין,ויטלין,ליזוזים,E1105,לציטין ממקור ביצה,חלבוני ביצה,חלבוני ביצים,אלבומינים,גלובולינים,ליבטינים,ויטלינים,לציטינים ממקור ביצה,לציטינים ממקור ביצים,אטריות ביצים,עקבות של ביצים,שאריות של ביצים,עקבות מזעריים של ביצים,רכיבי ביצים,חלבון ביצה,חלמון ביצה,חלמון,חלמון ביצים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חלבון ביצים,חלבון ביצה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חלמון ביצה,חלמון ביצה,חלמון,חלמון ביצים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חמניות,חמניות,עקבות חמניות,עקבות של חמניות,עקבות מזעריים של חמניות,שאריות של חמניות,שיירי חמניות
גלוטן חיטה,חיטה,חיטה (גלוטן),גלוטן חיטה,גלוטן מחיטה,גלוטן חיטה (מקמח מצות),עקבות של גלוטן חיטה,עקבות של גלוטן חיטה (מקמח מצות),קמח חיטה,רכיבי חיטה,חלבון חיטה,רכיבי גלוטן חיטה,שאריות של גלוטן חיטה,גליאדין,אינקורן,חיטת אינקורן,קמח אינקורן,חיטת קמוט,עמילן חיטה,סובין חיטה,נבט חיטה,חיטות קמוט,חיטות אינקורן,עמילני חיטה,סוביני חיטה,נבטי חיטה,קמח מולבן,קמח לחם,קמח חיטה מלאה,בורגול,סולת,קוסקוס,גרעיני חיטה,עשב חיטה,חיטת דורום,קמח גלוט,קמח מלא,חיטה שחורה,מחיטה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גלוטן שעורה,שעורה,שעורה (גלוטן),גלוטן שעורה,גלוטן משעורה,לתת שעורה,עקבות של גלוטן שעורה,הורדאין,משעורה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גרעיני דלעת,גרעיני דלעת,עקבות גרעיני דלעת,עקבות של גרעיני דלעת,עקבות מזעריים של גרעיני דלעת,שאריות של גרעיני דלעת,שיירי גרעיני דלעת
גרעיני חמניות,גרעיני חמניות,עקבות גרעיני חמניות,עקבות של גרעיני חמניות,עקבות מזעריים של גרעיני חמניות,שאריות של גרעיני חמניות,שיירי גרעיני חמניות
גרעינים,גרעינים,עקבות של גרעינים,עקבות מזעריים של גרעינים,שאריות של גרעינים,שיירי גרעינים
גלוטן שיבולת שועל,שיבולת שועל,שיבולת שועל (גלוטן),גלוטן שיבולת שועל,גלוטן משיבולת שועל,עקבות מזעריים של שיבולת שועל,עקבות של גלוטן שיבולת שועל,עקבות של שיבולת,אבנין,משיבולת שועל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גלוטן שיפון,שיפון,שיפון (גלוטן),גלוטן שיפון,גלוטן משיפון,עקבות מזעריים של שיפון,עקבות של גלוטן שיפון,סקלין,משיפון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גלוטן כוסמין,כוסמין,כוסמין (גלוטן),גלוטן כוסמין,גלוטן מכוסמין,עקבות של גלוטן כוסמין,חיטת כוסמין,מכוסמין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שומשום,שומשום,שוםשום,סוםסום,סומסום,עקבות של שומשום,עקבות מזעריים של שומשום,שאריות של שומשום,שיירי שומשום,זרעי שומשום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סויה,סויה,אדממה,פולי סויה,קמח סויה,מסויה,ליצטין סויה,רוטב סויה,עקבות של סויה,עקבות מזעריים של סויה,חלב סויה,חלבון סויה,שמן מסויה,שמן סויה,קמח סויה,שאריות של קמח סויה,לציטין סויה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דגים,דגים,דג,ג’לטין דגים,ג’לטין,קולגן,גלטין,קוויאר,ביצי דגים,פירות ים,רכיכות,חסילונים,שרימפס,סרטנים,סרטנאים,סרטניים,כסיף,דניס,בורי,קיפון,סלמון,מושט,אמנון,קרפיון,בס,באס,מוסר,לברק,פורל,שמך,מקרל,מדגים,קולגנים,שרימפסים,דניסים,בורים,קיפונים,סלמונים,מושטים,אמנונים,קרפיונים,בסים,באסים,מוסרים,לברקים,פורלים,שמכ,שמכים,מקרלים,מדג,ג'לטין,גלטין דגים,חלבון דגים,עקבות מזעריים של גלטין דגים,עקבות מזעריים של ג׳לטין דגים,איקרה,שמן דגים,רכיבי דגים,עצמות דגים,עקבות מזעריים של דגים,עקבות מוצרי דגים,עקבות של דגים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פול,פול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סולפה,סולפה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סולפיט,סולפיט,דו תחמוצת גופרית,גופרית דו חמצנית,עקבות סולפיט,E150,E220,E221,E222,E223,E224,E225,E226,E227,E228,E229,עקבות של סולפיט,עקבות מזעריים של סולפיט,שאריות של סולפיט,שיירי סולפיט,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חומוס,חומוס,גרגירי חומוס,חומוסים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עדשים,עדשים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפונה,אפונה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טפיוקה,טפיוקה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שעועית ירוקה,שעועית ירוקה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תורמוס,תורמוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שעועית לבנה,שעועית לבנה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כוסמת,כוסמת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חרדל,חרדל,עקבות של חרדל,עקבות מזעריים של חרדל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סלרי,סלרי,עלי סרלי,עקבות של סלרי,שורש סלרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קקאו,קקאו,פולי קקאו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגוזי עץ,אגוזי עץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
