GNL,Name,
109283746,Joya,
2364,Signature IT Ltd.,
7290000200002,טיב טירת צבי 2000,
7290000300009,מחלבת טרה - מילקו תעשיות בע,
7290000900001,תעשיות תפוגן בע,
7290001500002,אשבל מזון פונקציונלי אגש,
7290002400004,גניר 1992 בעמ,
7290002600008,"סוגת תעשיות בע""מ",
7290002700005,שטראוס גרופ בע,
7290003000005,תנובה,
7290003700004,"אשבול בע""מ",
7290005900006,מנעמים תעשיות מזון בעמ,
7290006400000,רוקחמן בע,
7290009800005,קבוצת אסם סחר שותפות מוגבלת,
7290010500000,אחים וולף שיווק מזון בע,
7290010900008,קוקה קולה החברה המרכזית למשקאות קלים,
7290012300004,זהבי הכרם בעמ,
7290012400001,"ר.ס חברה לייבוא ויצור מזון בע""מ",
7290012600005,אלפא קוסמטיקה,
7290013300003,פלקו בע,
7290013900005,בלדי בע,
7290016400007,גבינות משק אחים מאיר בית יצחק בע,
7290016600001,סלטי שמיר 2006 בע,
7290017900001,תה ויסוצקי (ישראל) בע,
7290020000002,זנלכל בע,
7290021200005,א. סיימן סחר בע,
7290022200004,אחדות בית חרושת לטחינה חלבה וממתקים בע,
7290024600000,"אחים פפושדו ובניהם בע""מ",
7290025300008,מעדני יחיעם (1993) בע,
7290027300006,ביסקול בע,
7290027600007,שופרסל שלי,
7290028900007,מתוק וקל בע,
7290029500008,פריניר הדס (1987) בעמ,
7290029800009,קוסקוס מזון בע,
7290032100004,"יפאורה תבורי בע""מ",
7290034000005,לוריאל ישראל קוסמטיקס בע,
7290034400003,הדקלאים בע,
7290036800009,דגנית עין בר תעשיות מזון ואפיה שותפות מוגבלת,
7290036900006,קימברלי קלארק ישראל שיווק בעמ,
7290037300003,גוטגולד גדעון בע,
7290040100003,כד בני דרום בע,
7290044700001,יוניליוור ישראל מזון בע,
7290045200005,"סודה סטרים ישראל בע""מ",
7290045400009,"מחלבות גד שיווק 1992 בע""מ",
7290046200004,חברת רנדי בע,
7290046400008,כרמית תעשיות ממתקים,
7290047100006,הכרם-משקאות חריפים בע,
7290047200003,ענבי ציון משקאות קלים בעמ,
7290049600009,שלמה א.אנג'ל - מאפיות אנג'ל בע,
7290050100000,תבליני טעם וריח,
7290050800009,דנשר (1963) בע,
7290051200006,מצות יהודה בע,
7290051500007,נקניק נהריה זוגלובק (אס),
7290052000001,ששון ושות' (ש.ת תעשיות) בע,
7290052700000,"מאפיית שלום אור יהודה וניסטו בע""מ",
7290052800007,חמים וטעים בע,
7290053200004,"הררית מזון בע""מ",
7290053500005,י. את א. ברמן בע,
7290053900003,ש. שסטוביץ בע,
7290054500004,"אפיפית נצרת תעשיות ביסקויט (יצור 1971) בע""מ",
7290055900001,גבינות עמיר ניצן בע,
7290058160228,רמי לוי שיווק השקמה,
7290060000000,ליימן שליסל בע,
7290060700009,משק דבורים לין בעמ,
7290061900002,פאקא תעשיות בע,
7290062100005,פישר תעשיות פרמצבטיות בע,
7290063100004,"סנו-מפעלי ברונוס בע""מ",
7290063900000,ריאו נתניה ביח,
7290064200000,"זהר בשר עופות ובשר בע""מ",
7290064900009,רוני רג'ואן ושות'(1986)בע,
7290065600007,קבוצת יבנה מוצרי מזון אגש,
7290068100009,מ. סידס ובנו בע,
7290068700001,הנסיך מפעל לייצור טחינה בע,
7290072800001,הנמל אריזות ושיווק בעמ,
7290073500009,מ.א. ייצור וייבוא מטליות בעמ,
7290076400009,"מוצרים טבעיים בית יצחק (2004) בע""מ",
7290078000009,"המגש שקד בע""מ",
7290078200003,"גלידת קולורדו בע""מ",
7290078900002,אגודת הכורמים הקואופרטיבית של יקבי ראשל,
7290079100005,מחלבות השומרון,
7290080900007,"גידרון תעשיות בע""מ",
7290082700001,חברת שימורי מוטולה בעמ,
7290087600009,סיידר הגליל בע,
7290087900000,פנינה רוזנבלום בע,
7290088600008,יקבי ארזה ת.ר.ז. בע,
7290089600007,"בטר אנד דיפרנט בע""מ",
7290090100008,שטיבל בע,
7290092700008,"שקדיה גבע תעשיות בע""מ",
7290096100002,מיה תעשיות מזון מ.ת.מ בע,
7290098400001,מאפית דוידוביץ ובניו בע,
7290101800002,שוקוטרייד בע,
7290102600007,גורי ע.ע.ע. בע,
7290102800001,טמפו משקאות בע,
7290106300002,בני גורג שוקחה חיפה בע,
7290106600003,יעקב יעקבי ובניו בע,
7290107700009,מחלבות רמת הגולן בעמ,
