allergen,var 1,var 1,var 2,var 3,var 4,var 5,var 6,var 7,var 8,var 9,var 10,var 11,var 12,var 13,var 14,var 15,var 16,var 17,var 18,var 19,var 20,var 21,var 22,var 23,var 24,var 25,var 26,var 27,var 28,var 29,var 30,var 31,var 32,var 33,var 34,var 35,var 36,var 37,var 38,var 39,var 40,var 41,var 42,var 43,var 44,var 45,var 46,var 47,var 48,var 49,var 50,var 51,var 52,var 53,var 54,var 55,var 56,var 57,
בוטנים,בוטנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ביצים,ביצים,חלבון ביצה,חלבון,חלמון ביצה,חלמון,אלבומין,גלובולין,ליבטין,ויטלין,ליזוזים,E1105,לציטין ממקור ביצה,חלבוני ביצה,חלבוני ביצים,חלמון ביצים,אלבומינים,גלובולינים,ליבטינים,ויטלינים,לציטינים ממקור ביצה,לציטינים ממקור ביצים,לציטין ממקור ביצים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חלב,חלב,לקטוז,קו יצור חלבי,קזאין,לקטוגלובולין,אבקת חלב,אבקת חלב נוכרי,מי גבינה ,אבקת גבינה,מוצקי חלב,ניזין,E234,חמאה,גהי,סאמנה,לקט אלבומין,לקטוזים,קזאינים,לקטוגלובולינים,אבקות חלב,אבקות חלב נוכרי,אבקות חלב נוכריים,מי גבינות ,מימי גבינות ,מימי גבינה,אבקות גבינה,אבקות גבינות,מוצקים ממקור חלב,מוצקים ממקור חלבי,ניזינים,סאמנות,לציטין חלב,,,,,,,,,,,,,,,,,,,,,,,,,,,
סויה,סויה,אדממה,פולי סויה,קמח סויה,מסויה,ליצטין סויה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תורמוס,תורמוס,תרמוס,תרמוסים,תורמוסים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דגים,דגים,דג,ג’לטין דגים,ג’לטין ,קולגן,גלטין,קוויאר,ביצי דגים,פירות ים,רכיכות,חסילונים,שרימפס,סרטנים,סרטנאים,סרטניים,כסיף,דניס,בורי,קיפון,סלמון,מושט,אמנון,קרפיון,בס,באס,מוסר,לברק,פורל,שמך,מקרל,מדגים,קולגנים,שרימפסים,דניסים,בורים,קיפונים,סלמונים,מושטים,אמנונים,קרפיונים,בסים,באסים,מוסרים,לברקים,פורלים,שמכ,שמכים,מקרלים,מדג,,,,,,,,,,
שומשום,שומשום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גלוטן,גלוטן,גליאנידים,גליאדין,גלוטנין,סקלין,אבנין,פרולאמינים,הורדאין,גליקו-פרוטאין,חיטה,שיפון,כוסמין,שעורה,שיבולת שועל,אינקורן,חיטת קמוט,טריטיקיילי,עמילן חיטה,סובין חיטה,נבט חיטה,עמילן ג'לטין,חלבון ירקות הידרוליזה,גלוטן ירקות,עמילן ירקות,גליאניד,גליאדינים,גלוטנינים,סקלינים,אבנינים,פרולאמין,הורדאינים,גליקו-פרוטאינים,אינקורנים,חיטות קמוט,טריטיקיילינים,עמילני חיטה,סוביני חיטה,נבטי חיטה,קמח מולבן,קמח לחם,שמרי בירה,בירה,קמח חיטה מלאה,בורגול,חיטת דורום,קמח,חיטת כוסמין,קמח גלוט,קמח מלא,חרינה,קאמוט,מאלט,תמצית מאלט,סירופ מלטוז,חומץ מאלט,מצה,קמח כוסמין,חיטה שחורה,מגלוטן
אגוזים,אגוזים,ברזיל,קשיו,פיסטוק,פיסטוק חאלבי,לוז,מלך,מקדמיה,קוקוס,שקדים,פקאן,מוסקט,צנובר,ערמונים,,מאקדמיה,אגוז ברזיל,אגוזי ברזיל,אגוז קשיו,אגוזי קשיו,אגוז פיסטוק,אגוזי פיסטוק,אגוזי פיסטוק חאלבי,אגוז פיסטוק חאלבי,פיסטוקים,אגוז לוז,אגוזי לוז,אגוזי מלך,אגוז מלך,אגוז מקדמיה,אגוזי מקדמיה,אגוז קוקוס,אגוזי קוקוס,שקד,אגוזי פקאן,אגוז פקאן,אגוזי פקאנים,פקאנים,אגוז מוסקט,אגוזי מוסקט,צנוברים,אגוזי צנובר,אגוז צנובר,אגוזי ערמונים,אגוז ערמונים,אגוז מאקדמיה,אגוזי מאקדמיה,,,,,,,,,,,,
